dataset_id,AR,MR,SW,RegressorOnP,RegressorOnR,Harris(lam=0.0),Harris(lam=0.25),Harris(lam=0.5),Harris(lam=0.75),Harris(lam=1.0),Harris,RandomBaseline
davidson_3way,0.0035689167340057447,0.0036073638159477505,0.0036073638159477505,0.0035689167340057447,7.689416388401149e-05,0.0,0.0035689167340057447,0.0035689167340057447,3.8447081942005745e-05,3.8447081942005745e-05,0.0035689167340057447,0.045284302210914965
davidson_hate_vs_not,0.006294298195111259,0.00830748860232522,0.00830748860232522,0.006294298195111259,0.0020131904072139607,0.006294298195111259,0.0020131904072139607,0.0020131904072139607,0.0020131904072139607,0.0020131904072139607,0.0020131904072139607,0.05596568316191244
ethos_binary,0.002883474685844778,0.002883474685844778,0.002883474685844778,0.002883474685844778,0.0036043433573059724,0.002883474685844778,0.002883474685844778,0.002883474685844778,0.002883474685844778,0.0036043433573059724,0.002883474685844778,0.05753107227222298
ethos_category_gender_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04653679953996902
ethos_category_national_origin_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03181511172513396
ethos_category_race_vs_rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03054694494895096
ethos_category_religion_vs_rest,0.002597963028388062,0.002597963028388062,0.002597963028388062,0.0008659876761293539,0.0008659876761293539,0.0008659876761293539,0.0008659876761293539,0.0008659876761293539,0.0008659876761293539,0.0008659876761293539,0.0008659876761293539,0.0
hatebr_offensive_binary,0.006667944859102892,0.011392382491084107,0.011392382491084107,0.0,0.004724437631981215,0.004724437631981215,0.004724437631981215,0.004724437631981215,0.004724437631981215,0.004724437631981215,0.004724437631981215,0.018796221784023737
hatebr_partyism_vs_rest,0.009540894773239706,0.015295806336297147,0.015295806336297147,0.0,0.005754911563057441,0.0,0.005754911563057441,0.005754911563057441,0.005754911563057441,0.005754911563057441,0.005754911563057441,0.015045672335123727
hatecheck_en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00967412180800411
hateval_en_AG,0.003260148338814195,0.0031946717104208823,0.0031946717104208823,0.0,0.0031946717104208823,0.0031946717104208823,0.0031946717104208823,0.0031946717104208823,0.0,0.0,0.0031946717104208823,0.006389343420841765
hateval_en_HS,0.00016273027158206777,0.00032546054316413554,0.00016273027158206777,0.0005079548221055497,0.00032546054316413554,0.0005079548221055497,0.00032546054316413554,0.0005079548221055497,0.00032546054316413554,0.00032546054316413554,0.0005079548221055497,0.0015632108944084178
hateval_en_TR,0.0031302346454297413,0.0015651173227148707,0.0031302346454297413,0.004695351968144612,0.0031302346454297413,0.0031302346454297413,0.0031302346454297413,0.0031302346454297413,0.0031302346454297413,0.0036076815732860256,0.0031302346454297413,0.008326379860555034
hateval_es_AG,0.010309528954791291,0.006928175269675585,0.010309528954791291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01002220467109205
hateval_es_HS,0.010860090273966361,0.009269490312287621,0.010860090273966361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02248385692778134
