algorithm,mean_f1_english,mean_f1_non_english,mean_rank_english,mean_rank_non_english,rank_delta_noneng_minus_eng
minilm_mlp,0.75033027439435,0.7044315867476328,1.6511627906976745,6.428571428571429,4.777408637873754
minilm_lr,0.7230887153609008,0.6799310650880285,3.5348837209302326,7.857142857142857,4.322259136212624
hatebert_lr,0.7009931702240274,0.6667584827222386,4.744186046511628,8.285714285714286,3.541528239202658
mbert_lr,0.6664032955065844,0.6711354314624967,7.069767441860465,8.571428571428571,1.501661129568106
tfidf_char_svm,0.7313857655461008,0.7639832952256357,2.6511627906976742,3.2857142857142856,0.6345514950166113
tfidf_word_lr,0.7174850672103801,0.7673634227649602,3.302325581395349,1.4285714285714286,-1.8737541528239203
svd_rf,0.6298397457805663,0.7192143245592322,8.0,5.0,-3.0
svd_histgb,0.6238151093209062,0.7184778067013823,8.325581395348838,5.142857142857143,-3.1827242524916945
tfidf_nb,0.6538818897303884,0.7365131813379684,6.906976744186046,3.5714285714285716,-3.3355481727574747
svd_knn,0.6141554288539656,0.7097287368800524,8.813953488372093,5.428571428571429,-3.385382059800664
