approach,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,AUC_loss_recomputed,AUC_loss_stored,matches_stored
AR,0.0164362407508084,0.0040595991136459,0.0004232532687198,0.0001530952865334,0.0,0.0,0.0,0.0,0.0,0.0,0.0021072188419707497,0.0021072188419707,True
MR,0.0164362407508084,0.0038753353089621,0.0004232532687198,0.0001530952865334,0.0,0.0,0.0,0.0,0.0,0.0,0.0020887924615023696,0.0020887924615023,True
SW,0.0164362407508084,0.0071395983008304,0.0004232532687198,0.0001530952865334,0.0,0.0,0.0,0.0,0.0,0.0,0.0024152187606892,0.0024152187606892,True
RegressorOnP,0.0067857719888817,0.0026937234822078,0.0006376107313208,0.0001530952865334,0.0,0.0,0.0,0.0,0.0,0.0,0.00102702014889437,0.0010270201488943,True
RegressorOnR,0.0077126548058338,0.0018285571805443,0.0003245872667778,0.0001441737342922,0.0001441737342922,0.0,0.0,0.0,0.0,0.0,0.0010154146721740303,0.001015414672174,True
HARRIS,0.0076142272906546,0.0014865554358739,0.0003058915110594,0.0001530952865334,0.0,0.0,0.0,0.0,0.0,0.0,0.0009559769524121299,0.0009559769524121,True
RandomBaseline,0.087935703080942,0.044141365743618,0.0238746303841099,0.0163870595379391,0.0095838576904781,0.0071355065366448,0.0041382144545085,0.002183637533355,0.0006768024582143,0.0,0.019605677741980965,0.019605677741981,True
