approach,spearman_english,spearman_non_english,drop
AR,0.8353770260747005,0.11688311688311684,-0.7184939091915837
MR,0.8481797972659856,0.09011484949964281,-0.7580649477663428
SW,0.8431133038682249,0.11168831168831168,-0.7314249921799132
RegressorOnP,0.8773784355179702,0.3333333333333333,-0.5440451021846369
RegressorOnR,0.8467778563699865,0.36796536796536794,-0.47881248840461854
Harris,0.8593375616631428,0.42164502164502154,-0.43769254001812125
