approach,mean_spearman,std_spearman
AR,0.7347878787878787,0.29452137808762596
MR,0.7420507045786975,0.30966280165563065
SW,0.7407138049630371,0.29752435876408867
RegressorOnP,0.8012121212121213,0.2639429120751152
RegressorOnR,0.7797441079933399,0.2258082130916871
Harris,0.798060606060606,0.20523111447434517
RandomBaseline,0.007030303030303036,0.34074155988004445
