approach,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
AR,0.016436240750808413,0.004972937762732907,0.00042325326871981204,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
MR,0.02964731641242767,0.005840158068724217,0.00042325326871981204,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
SW,0.016436240750808413,0.007479135099571832,0.00042325326871981204,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
RegressorOnP,0.008479160318124748,0.0033567543364048393,0.0006864187504890196,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
RegressorOnR,0.010422923877085257,0.005440326358355005,0.0011847061389878033,0.00015309528653349337,0.0001441737342922389,0.0,0.0,0.0,0.0,0.0
Harris,0.00993170365930092,0.001798582981600536,0.0006864187504890196,0.00015309528653349337,0.0,0.0,0.0,0.0,0.0,0.0
RandomBaseline,0.08793570308094206,0.044141365743618086,0.023874630384109963,0.016387059537939175,0.009583857690478132,0.007135506536644889,0.004138214454508535,0.002183637533355014,0.0006768024582143917,0.0
