approach,mean_auc_loss,std_auc_loss
AR,0.0021985527068794624,0.003372839415647299
MR,0.003606382303640519,0.004493794909127813
SW,0.002449172440563355,0.003930819230360381
RegressorOnP,0.0012675428691552102,0.0020764894787144287
RegressorOnR,0.0017345225395253797,0.0026626250513249925
Harris,0.0012569800677923971,0.001786854393668647
RandomBaseline,0.019605677741981027,0.015886640632173033
